선수명,구단,경기,타율,득점,안타,홈런,타점,도루,장타율,출루율,수비율,실책,자살,보살,비고
박한이,삼성,112,0.284,56,112,6,55,4,0.376,0.366,0.996,1,224,5,타격 26위
배영섭,삼성,113,0.295,66,116,2,38,23,0.372,0.402,0.986,3,214,4,"출루율 7위, 타격 19위"
최형우,삼성,128,0.305,80,156,29,98,2,0.53,0.366,0.993,1,137,5,"홈런, 타점 2위, 최다안타 공동 2위, 장타율 3위, 득점 4위, 타격 13위"
김현수,두산,122,0.302,63,131,16,90,2,0.47,0.382,0.99,2,185,11,"타점 5위, 최다안타 공동 9위, 타격 14위"
민병헌,두산,119,0.319,71,122,9,65,27,0.48,0.387,0.995,1,188,5,"타격 6위, 장타율 7위, 도루 10위"
박용택,LG,125,0.328,79,156,7,67,13,0.435,0.393,1.0,0,175,2,"최다안타 공동 2위, 타격 4위, 득점 5위, 출루율 10위"
이택근,넥센,123,0.287,73,137,9,66,29,0.413,0.345,0.973,5,172,7,"최다안타 공동 6위, 도루 공동 6위, 득점 9위, 타격 24위"
손아섭,롯데,128,0.345,83,172,11,69,36,0.474,0.421,0.969,8,236,11,"최다안타 1위, 타격, 득점, 도루 2위, 출루율 5위, 장타율 10위"
김강민,SK,105,0.301,39,106,10,55,10,0.466,0.37,0.985,3,192,8,타격 15위
김종호,NC,128,0.277,72,129,0,22,50,0.333,0.376,0.996,1,242,7,"도루 1위, 득점 10위"
이종욱,NC,110,0.307,77,123,6,52,30,0.439,0.369,0.99,2,203,4,"도루 공동 4위, 득점 6위, 타격 12위"
나지완,KIA,125,0.287,57,125,21,96,7,0.474,0.394,0.971,4,128,4,"타점 공동 3위, 홈런 6위, 출루율 8위, 타격 23위"
신종길,KIA,104,0.31,55,117,4,50,29,0.427,0.365,1.0,0,180,3,"도루 공동 6위, 타격 11위"
정현석,한화,121,0.287,47,102,4,27,4,0.368,0.365,0.982,4,218,6,타격 25위
