선수명,구단,경기,수비이닝,타율,득점,안타,홈런,타점,도루,장타율,출루율,수비율,실책,자살,보살
버나디나,KIA,139,"1,114 2/3",0.32,118,178,27,111,32,0.54,0.372,1.0,0,281,10
이명기,KIA,115,897 1/3,0.332,79,154,9,63,8,0.459,0.371,0.98,5,236,5
최형우,KIA,142,916 2/3,0.342,98,176,26,120,0,0.576,0.45,0.981,4,196,7
김재환,두산,144,"1,093",0.34,110,185,35,115,4,0.603,0.429,0.967,8,232,5
박건우,두산,131,990 1/3,0.366,91,177,20,78,20,0.582,0.424,0.983,4,227,4
김문호,롯데,131,886 1/3,0.292,49,114,2,35,9,0.356,0.372,0.984,3,179,2
민병헌,롯데,123,932,0.304,73,136,14,71,3,0.445,0.389,0.981,4,205,5
손아섭,롯데,144,"1,210 1/3",0.335,113,193,20,80,25,0.514,0.42,0.992,2,250,11
전준우,롯데,110,834,0.321,76,146,18,69,2,0.503,0.37,1.0,0,210,4
권희동,NC,141,"1,045 1/3",0.286,72,135,19,86,3,0.458,0.371,0.987,3,223,6
김성욱,NC,124,720,0.247,60,76,6,31,10,0.39,0.315,1.0,0,161,6
나성범,NC,125,"1,059 2/3",0.347,103,173,24,99,17,0.584,0.415,0.969,8,245,9
노수광,SK,131,818 2/3,0.285,72,109,6,39,16,0.395,0.34,0.976,5,202,5
이형종,LG,128,878 1/3,0.265,57,100,9,44,11,0.385,0.351,0.991,2,220,10
채은성,LG,114,772 2/3,0.267,28,89,2,35,5,0.339,0.323,0.985,3,192,6
고종욱,넥센,123,839 1/3,0.312,70,133,8,54,16,0.462,0.349,0.975,5,192,3
이정후,넥센,144,"1,192",0.324,111,179,2,47,12,0.417,0.395,0.99,3,295,8
양성우,한화,118,848 1/3,0.277,42,99,2,40,4,0.372,0.363,0.981,4,198,6
구자욱,삼성,144,"1,242 1/3",0.31,108,175,21,107,10,0.527,0.383,0.983,5,278,13
김헌곤,삼성,123,824 1/3,0.264,51,94,9,47,11,0.388,0.331,0.988,2,161,10
박해민,삼성,144,"1,151 2/3",0.284,96,162,7,54,40,0.393,0.338,0.997,1,323,7
유한준,kt,133,866 2/3,0.306,52,136,13,68,0,0.436,0.37,0.995,1,187,3
