선수명,구단,경기,수비이닝,타율,득점,안타,홈런,타점,도루,장타율,출루율,수비율,실책,자살,보살,비고
박해민,LG,144,"1,187 2/3",0.285,80,138,6,59,26,0.359,0.348,0.991,3,338,2,"도루 4위, 득점 9위"
홍창기,LG,141,"1,123 1/3",0.332,109,174,1,65,23,0.412,0.444,0.993,2,276,7,"득점/출루율 1위, 안타 3위, 타율 4위, 도루 11위"
문성주,LG,136,990 1/3,0.294,77,132,2,57,24,0.372,0.392,0.989,3,260,5,"출루율 8위, 도루 10위, 득점 11위"
알포드,KT,133,863,0.289,83,142,15,70,17,0.456,0.356,0.986,3,209,5,"득점 8위, 장타율 12위, 도루 15위"
배정대,KT,97,800,0.277,48,86,2,38,13,0.347,0.356,0.996,1,246,6,
김민혁,KT,113,767 2/3,0.297,68,118,3,41,11,0.385,0.356,0.979,4,190,1,
최지훈,SSG,117,966 2/3,0.268,65,124,2,30,21,0.357,0.315,0.988,3,249,5,도루 12위
에레디아,SSG,122,938,0.323,76,153,12,76,12,0.461,0.385,0.979,5,222,11,"타율 5위, 안타 8위, 출루율/장타율 11위, 득점 13위, 타점 15위"
마틴,NC,118,914,0.283,55,123,17,90,15,0.455,0.36,0.988,3,240,1,"타점 4위, 홈런 12위, 장타율 13위"
박건우,NC,130,727 2/3,0.319,70,146,12,85,7,0.48,0.397,1.0,0,147,3,"출루율 4위, 장타율 6위, 타율 7위, 타점 9위, 안타 12위"
정수빈,두산,137,1111,0.287,75,143,2,33,39,0.371,0.375,1.0,0,318,8,"도루 1위, 안타 13위, 득점 15위"
로하스,두산,122,738,0.253,52,102,19,65,0,0.474,0.345,0.988,2,159,4,"장타율 7위, 홈런 9위"
소크라테스,KIA,142,"1,207",0.285,91,156,20,96,15,0.463,0.344,0.98,7,345,3,"타점 2위, 득점 5위, 안타/홈런 6위, 장타율 10위"
이우성,KIA,126,793 1/3,0.301,39,107,8,58,8,0.417,0.363,0.995,1,177,4,
김민석,롯데,129,933 2/3,0.255,53,102,3,39,16,0.338,0.314,0.996,1,243,3,
윤동희,롯데,107,809,0.287,45,111,2,41,3,0.354,0.333,0.979,4,182,2,
피렐라,삼성,139,950,0.285,66,159,16,80,6,0.425,0.339,0.991,2,203,6,"안타 5위, 타점 12위"
김현준,삼성,109,880,0.275,62,119,3,46,5,0.346,0.327,0.984,5,303,4,
구자욱,삼성,119,772 2/3,0.336,65,152,11,71,12,0.494,0.407,1.0,0,174,5,"타율/출루율 2위, 장타율 4위, 안타 10위"
이진영,한화,121,845,0.249,57,89,10,50,5,0.394,0.344,0.978,5,215,11,
